Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,010092,2022,04,14.5
IDCJAC0003,010092,2022,05,12.1
IDCJAC0003,010092,2022,06,10.6
IDCJAC0003,010092,2022,07,11.3
IDCJAC0003,010092,2022,08,13.6
IDCJAC0003,010092,2022,09,17.1
IDCJAC0003,010092,2022,10,21.3
IDCJAC0003,010092,2022,11,25.6
IDCJAC0003,010092,2022,12,29.4
IDCJAC0003,010092,2023,01,27.7
IDCJAC0003,010092,2023,02,26.3
IDCJAC0003,010092,2023,03,20.0
IDCJAC0003,010092,2023,04,15.4
IDCJAC0003,010092,2023,05,12.1
IDCJAC0003,010092,2023,06,10.4
IDCJAC0003,010092,2023,07,11.5
IDCJAC0003,010092,2023,08,14.4
IDCJAC0003,010092,2023,09,18.1
IDCJAC0003,010092,2023,10,23.3
IDCJAC0003,010092,2023,11,25.4
IDCJAC0003,010092,2023,12,29.3
IDCJAC0003,010092,2024,01,28.2
IDCJAC0003,010092,2024,02,24.5
IDCJAC0003,010092,2024,03,20.1
IDCJAC0003,010092,2024,04,16.2
IDCJAC0003,010092,2024,05,12.2
IDCJAC0003,010092,2024,06,9.8
IDCJAC0003,010092,2024,07,11.6
IDCJAC0003,010092,2024,08,13.8
IDCJAC0003,010092,2024,09,18.8
