Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,002056,2021,12,22.2,28,Y
IDCJAC0008,002056,2022,01,22.9,06,Y
IDCJAC0008,002056,2022,02,22.4,15,Y
IDCJAC0008,002056,2022,03,22.0,31,Y
IDCJAC0008,002056,2022,04,16.1,10,Y
IDCJAC0008,002056,2022,05,13.7,29,Y
IDCJAC0008,002056,2022,06,9.8,13,Y
IDCJAC0008,002056,2022,07,6.0,12,Y
IDCJAC0008,002056,2022,08,7.5,26,Y
IDCJAC0008,002056,2022,09,16.7,06,Y
IDCJAC0008,002056,2022,10,21.7,03,Y
IDCJAC0008,002056,2022,11,19.9,02,Y
IDCJAC0008,002056,2022,12,19.3,03,Y
IDCJAC0008,002056,2023,01,22.6,23,Y
IDCJAC0008,002056,2023,02,21.7,07,Y
IDCJAC0008,002056,2023,03,19.8,12,Y
IDCJAC0008,002056,2023,04,13.7,18,Y
IDCJAC0008,002056,2023,05,9.1,31,Y
IDCJAC0008,002056,2023,06,8.5,01,Y
IDCJAC0008,002056,2023,07,8.5,27,Y
IDCJAC0008,002056,2023,08,10.8,22,Y
IDCJAC0008,002056,2023,09,12.4,01,Y
IDCJAC0008,002056,2023,10,14.5,20,Y
IDCJAC0008,002056,2023,11,22.5,24,Y
IDCJAC0008,002056,2023,12,22.8,05,Y
IDCJAC0008,002056,2024,01,23.4,28,Y
IDCJAC0008,002056,2024,02,23.0,14,Y
IDCJAC0008,002056,2024,03,22.5,20,Y
IDCJAC0008,002056,2024,04,15.3,29,Y
IDCJAC0008,002056,2024,05,12.2,22,Y
IDCJAC0008,002056,2024,06,8.6,25,Y
IDCJAC0008,002056,2024,07,6.5,20,Y
IDCJAC0008,002056,2024,08,11.4,10,Y
